URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://hl7chile.cl/fhir/ig/clcore/ValueSet/CodPais,1.9.3,active,,CodPaises,Códigos de Países,"Codigos definidos para la identificación de países segun norma ISO3166-N",,"hl7.terminology.r4"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSClaseVacuna,1.9.3,active,,VSClaseVacuna,Códigos de clases de Vacuna,"Códigos de clase de vacuna",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodMadurez,1.9.3,active,,VSCodMadurez,Códigos de grado de madurez del artefacto,"Códigos de grado de madurez del artefacto",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodigosComunaCL,1.9.3,active,,VSCodigosComunaCL,Códigos de Comunas en Chile,"Códigos de Comunas para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodigosProvinciasCL,1.9.3,active,,VSCodigosProvinciasCL,Códigos de Provincias en Chile,"Códigos de Provincias para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodigosRegionesCL,1.9.3,active,,VSCodigosRegionesCL,Códigos de Regiones en Chile,"Códigos de Regiones para Chile según Códigos Únicos Territoriales Actualizados, por Decreto exento No 817 del Ministerio del Interior",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSCodigoslenguaje,1.9.3,active,,VSCodigoslenguaje,Codigos Lenguaje,"Códigos de leguaje",,"hl7.terminology.r4"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSContactoRelacion,1.9.3,active,,VSContactoRelacion,Códigos de relación del contacto con el paciente,"Códigos de relación del contacto con el paciente",,"THO (V2),Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSDiagnosticosSCT,1.9.3,active,,VSDiagnosticosSCT,Diagnósticos SNOMED y Ausente o Desconocido,"Diagnósticos definidos en Snomed-CT.",,"SCT"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSEspecialidadesCL,1.9.3,active,,VSEspecialidadesCL,Códigos de Especialidades,"Códigos de especialidades médicas descritas según DEIS, la CONACEM y CONACEO",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSIdentidaddeGenero,1.9.3,active,,VSIdentidaddeGenero,Identidad de Genero,"Identidad de Genero",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSNombreCampana,1.9.3,active,,VSNombreCampanaCL,Campañas de Vacunación,"Campañas de Inmunización utilizada en Chile según CodeSystem local",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSOtrosContactos,1.9.3,active,,VSOtrosContactos,Códigos de otros contactos del paciente,"Códigos de contactos adicionales usados en Chile para paciente",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSRazonNOT,1.9.3,active,,VSRazonNOencuentro,Razones no Atención Remota,"Razones por la que no se lleva a cabo un encuentro remoto según CodeSystem local",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSRazonNOTinm,1.9.3,active,,VSRazonNOTinmCL,Razones no Inmunización,"Razones por la que no se lleva a cabo la administración de una vacuna o registro de una inmunización según CodeSystem local",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSSexoListadoDeis,1.9.3,active,,VSSexoListadoDeis,Sexo Listado Deis,"Sexo Listado Deis",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTipoIdentificador,1.9.3,active,,VSTipoIdentificador,Tipo Identificador,"Tipo Identificador",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTiposDocClinico,1.9.3,active,,VSTiposDocClinico,Tipos de Documentos Clínicos,"Tipos de Documentos clínicos para Composition. Se trae todo Loinc, se requerirá un VS específico",,"LOINC"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTiposDocumentos,1.9.3,active,,VSTiposDocumentos,Tipos de Documentos,"Tipos de Documentos para identificación según tabla HL7 V3 y CodeSystem local.",,"THO (V2),Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTiposEncuentroCL,1.9.3,active,,VSTiposEncuentroCL,Tipos de Encuentro,"Códigos de Encuentros según MINSAL",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTiposServicio,1.9.3,active,,VSTiposServicioCL,Tipos de Servicios Remotos,"Tipos de Servicios para encuentro remoto según CodeSystem local",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/VSTiposVacunas,1.9.3,active,,VSTiposVacunasCL,Tipos de Vacunas RNI,"Tipos de Vacunas utilizadas en Chile según CodeSystem local",,"Internal"
https://hl7chile.cl/fhir/ig/clcore/ValueSet/cl-core-vs-signos-vitales,1.9.3,active,,VSSignosVitales,Set de Valores Signos Vitales,"Este set de valores LOINC utilizados para identificar los signos vitales",,"LOINC"
